StartOrder;WS01;OR03326;
AssignProduct;WS01;P00206;
AssignProduct;WS01;P00300;
PickOrder;WS01;OR00324;P00300;
StartOrder;WS01;OR03461;
PickOrder;WS01;OR03461;P00447;
PickOrder;WS01;OR03461;P00351;
PickOrder;WS01;OR03461;P00455;
PickOrder;WS01;OR03461;P00351;
RemoveProduct;WS01;P00300;
AssignProduct;WS01;P00127;
PickOrder;WS01;OR03461;P00127;
PickOrder;WS01;OR00168;P00127;
PickOrder;WS01;OR00168;P00127;
RemoveProduct;WS01;P00127;
AssignProduct;WS01;P00276;
PickOrder;WS01;OR03461;P00276;
PickOrder;WS01;OR03461;P00276;
RemoveProduct;WS01;P00276;
AssignProduct;WS01;P00042;
PickOrder;WS01;OR03461;P00042;
PickOrder;WS01;OR03461;P00042;
PickOrder;WS01;OR08517;P00042;
PickOrder;WS01;OR00168;P00042;
StartOrder;WS01;OR05320;
PickOrder;WS01;OR05320;P00447;
PickOrder;WS01;OR05320;P00455;
PickOrder;WS01;OR05320;P00455;
PickOrder;WS01;OR05320;P00351;
PickOrder;WS01;OR05320;P00455;
PickOrder;WS01;OR05320;P00351;
PickOrder;WS01;OR05320;P00042;
PickOrder;WS01;OR05320;P00455;
PickOrder;WS01;OR05320;P00455;
PickOrder;WS01;OR05320;P00455;
RemoveProduct;WS01;P00042;
AssignProduct;WS01;P00319;
PickOrder;WS01;OR00168;P00319;
PickOrder;WS01;OR00168;P00319;
StartOrder;WS01;OR03088;
PickOrder;WS01;OR03088;P00351;
PickOrder;WS01;OR03088;P00447;
PickOrder;WS01;OR03088;P00455;
PickOrder;WS01;OR03088;P00455;
PickOrder;WS01;OR03088;P00351;
RemoveProduct;WS01;P00319;
AssignProduct;WS01;P00174;
PickOrder;WS01;OR08517;P00174;
PickOrder;WS01;OR08517;P00174;
RemoveProduct;WS01;P00174;
AssignProduct;WS01;P00457;
PickOrder;WS01;OR08517;P00457;
StartOrder;WS01;OR00108;
PickOrder;WS01;OR00108;P00455;
PickOrder;WS01;OR00108;P00455;
PickOrder;WS01;OR00108;P00447;
PickOrder;WS01;OR00108;P00455;
PickOrder;WS01;OR00108;P00455;
PickOrder;WS01;OR00108;P00351;
RemoveProduct;WS01;P00457;
AssignProduct;WS01;P00127;
PickOrder;WS01;OR05320;P00127;
RemoveProduct;WS01;P00127;
AssignProduct;WS01;P00353;
PickOrder;WS01;OR05320;P00353;
StartOrder;WS01;OR06063;
PickOrder;WS01;OR06063;P00455;
PickOrder;WS01;OR06063;P00351;
PickOrder;WS01;OR06063;P00447;
RemoveProduct;WS01;P00353;
AssignProduct;WS01;P00417;
PickOrder;WS01;OR03088;P00417;
PickOrder;WS01;OR03088;P00417;
PickOrder;WS01;OR03088;P00417;
RemoveProduct;WS01;P00417;
AssignProduct;WS01;P00378;
PickOrder;WS01;OR03088;P00378;
PickOrder;WS01;OR03088;P00378;
RemoveProduct;WS01;P00455;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR03088;P00206;
PickOrder;WS01;OR03088;P00206;
PickOrder;WS01;OR06063;P00206;
PickOrder;WS01;OR06063;P00206;
PickOrder;WS01;OR06063;P00206;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00042;
PickOrder;WS01;OR03088;P00042;
PickOrder;WS01;OR06063;P00042;
PickOrder;WS01;OR00108;P00042;
PickOrder;WS01;OR00108;P00042;
PickOrder;WS01;OR00108;P00042;
StartOrder;WS01;OR00438;
PickOrder;WS01;OR00438;P00378;
PickOrder;WS01;OR00438;P00447;
PickOrder;WS01;OR00438;P00351;
PickOrder;WS01;OR00438;P00042;
PickOrder;WS01;OR00438;P00351;
PickOrder;WS01;OR00438;P00042;
PickOrder;WS01;OR00438;P00351;
RemoveProduct;WS01;P00378;
AssignProduct;WS01;P00409;
PickOrder;WS01;OR06063;P00409;
PickOrder;WS01;OR06063;P00409;
PickOrder;WS01;OR06063;P00409;
RemoveProduct;WS01;P00409;
AssignProduct;WS01;P00274;
PickOrder;WS01;OR06063;P00274;
StartOrder;WS01;OR08505;
PickOrder;WS01;OR08505;P00042;
PickOrder;WS01;OR08505;P00351;
PickOrder;WS01;OR08505;P00351;
PickOrder;WS01;OR08505;P00042;
PickOrder;WS01;OR08505;P00447;
RemoveProduct;WS01;P00274;
AssignProduct;WS01;P00386;
PickOrder;WS01;OR08505;P00386;
RemoveProduct;WS01;P00042;
AssignProduct;WS01;P00258;
PickOrder;WS01;OR08505;P00258;
PickOrder;WS01;OR08505;P00258;
PickOrder;WS01;OR08505;P00258;
RemoveProduct;WS01;P00258;
AssignProduct;WS01;P00172;
PickOrder;WS01;OR08505;P00172;
StartOrder;WS01;OR00768;
PickOrder;WS01;OR00768;P00386;
PickOrder;WS01;OR00768;P00447;
PickOrder;WS01;OR00768;P00351;
PickOrder;WS01;OR00768;P00386;
RemoveProduct;WS01;P00172;
AssignProduct;WS01;P00222;
PickOrder;WS01;OR00108;P00222;
RemoveProduct;WS01;P00222;
AssignProduct;WS01;P00490;
PickOrder;WS01;OR00108;P00490;
PickOrder;WS01;OR00108;P00490;
RemoveProduct;WS01;P00386;
AssignProduct;WS01;P00477;
PickOrder;WS01;OR00108;P00477;
StartOrder;WS01;OR08963;
PickOrder;WS01;OR08963;P00351;
PickOrder;WS01;OR08963;P00490;
PickOrder;WS01;OR08963;P00447;
RemoveProduct;WS01;P00477;
AssignProduct;WS01;P00042;
PickOrder;WS01;OR00768;P00042;
PickOrder;WS01;OR00768;P00042;
PickOrder;WS01;OR08963;P00042;
PickOrder;WS01;OR08963;P00042;
RemoveProduct;WS01;P00042;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR00768;P00206;
PickOrder;WS01;OR08963;P00206;
PickOrder;WS01;OR00438;P00206;
PickOrder;WS01;OR00438;P00206;
PickOrder;WS01;OR00438;P00206;
RemoveProduct;WS01;P00490;
AssignProduct;WS01;P00006;
PickOrder;WS01;OR08963;P00006;
StartOrder;WS01;OR02007;
PickOrder;WS01;OR02007;P00351;
PickOrder;WS01;OR02007;P00206;
PickOrder;WS01;OR02007;P00351;
PickOrder;WS01;OR02007;P00206;
PickOrder;WS01;OR02007;P00351;
PickOrder;WS01;OR02007;P00447;
RemoveProduct;WS01;P00006;
AssignProduct;WS01;P00472;
PickOrder;WS01;OR00768;P00472;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00455;
PickOrder;WS01;OR00768;P00455;
PickOrder;WS01;OR00768;P00455;
PickOrder;WS01;OR02007;P00455;
StartOrder;WS01;OR03349;
PickOrder;WS01;OR03349;P00472;
PickOrder;WS01;OR03349;P00351;
PickOrder;WS01;OR03349;P00351;
PickOrder;WS01;OR03349;P00351;
PickOrder;WS01;OR03349;P00447;
PickOrder;WS01;OR03349;P00455;
RemoveProduct;WS01;P00455;
AssignProduct;WS01;P00420;
PickOrder;WS01;OR00438;P00420;
RemoveProduct;WS01;P00420;
AssignProduct;WS01;P00334;
PickOrder;WS01;OR00438;P00334;
StartOrder;WS01;OR02416;
PickOrder;WS01;OR02416;P00351;
PickOrder;WS01;OR02416;P00472;
PickOrder;WS01;OR02416;P00447;
PickOrder;WS01;OR02416;P00351;
RemoveProduct;WS01;P00334;
AssignProduct;WS01;P00386;
PickOrder;WS01;OR02007;P00386;
PickOrder;WS01;OR02007;P00386;
RemoveProduct;WS01;P00386;
AssignProduct;WS01;P00298;
PickOrder;WS01;OR02007;P00298;
PickOrder;WS01;OR02007;P00298;
RemoveProduct;WS01;P00298;
AssignProduct;WS01;P00042;
PickOrder;WS01;OR02007;P00042;
PickOrder;WS01;OR02416;P00042;
PickOrder;WS01;OR02416;P00042;
PickOrder;WS01;OR02416;P00042;
PickOrder;WS01;OR03349;P00042;
PickOrder;WS01;OR03349;P00042;
StartOrder;WS01;OR02642;
PickOrder;WS01;OR02642;P00472;
PickOrder;WS01;OR02642;P00447;
PickOrder;WS01;OR02642;P00042;
PickOrder;WS01;OR02642;P00351;
PickOrder;WS01;OR02642;P00042;
RemoveProduct;WS01;P00042;
AssignProduct;WS01;P00127;
PickOrder;WS01;OR02416;P00127;
PickOrder;WS01;OR03349;P00127;
PickOrder;WS01;OR03349;P00127;
PickOrder;WS01;OR02642;P00127;
PickOrder;WS01;OR02642;P00127;
RemoveProduct;WS01;P00127;
AssignProduct;WS01;P00400;
PickOrder;WS01;OR02416;P00400;
PickOrder;WS01;OR02416;P00400;
StartOrder;WS01;OR01612;
PickOrder;WS01;OR01612;P00472;
PickOrder;WS01;OR01612;P00472;
PickOrder;WS01;OR01612;P00447;
PickOrder;WS01;OR01612;P00351;
RemoveProduct;WS01;P00400;
AssignProduct;WS01;P00299;
PickOrder;WS01;OR03349;P00299;
PickOrder;WS01;OR03349;P00299;
StartOrder;WS01;OR02393;
PickOrder;WS01;OR02393;P00351;
PickOrder;WS01;OR02393;P00351;
PickOrder;WS01;OR02393;P00472;
PickOrder;WS01;OR02393;P00472;
RemoveProduct;WS01;P00299;
AssignProduct;WS01;P00058;
PickOrder;WS01;OR02642;P00058;
PickOrder;WS01;OR02642;P00058;
RemoveProduct;WS01;P00058;
AssignProduct;WS01;P00318;
PickOrder;WS01;OR02642;P00318;
PickOrder;WS01;OR02642;P00318;
StartOrder;WS01;OR02816;
PickOrder;WS01;OR02816;P00472;
PickOrder;WS01;OR02816;P00472;
PickOrder;WS01;OR02816;P00351;
PickOrder;WS01;OR02816;P00472;
PickOrder;WS01;OR02816;P00447;
PickOrder;WS01;OR02816;P00351;
RemoveProduct;WS01;P00318;
AssignProduct;WS01;P00236;
PickOrder;WS01;OR02393;P00236;
PickOrder;WS01;OR02393;P00236;
RemoveProduct;WS01;P00447;
AssignProduct;WS01;P00319;
PickOrder;WS01;OR02393;P00319;
PickOrder;WS01;OR02393;P00319;
RemoveProduct;WS01;P00319;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR02393;P00057;
PickOrder;WS01;OR02393;P00057;
RemoveProduct;WS01;P00472;
AssignProduct;WS01;P00253;
PickOrder;WS01;OR02393;P00253;
PickOrder;WS01;OR02393;P00253;
StartOrder;WS01;OR09445;
PickOrder;WS01;OR09445;P00351;
PickOrder;WS01;OR09445;P00057;
PickOrder;WS01;OR09445;P00236;
PickOrder;WS01;OR09445;P00253;
PickOrder;WS01;OR09445;P00351;
PickOrder;WS01;OR09445;P00253;
PickOrder;WS01;OR09445;P00351;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00004;
PickOrder;WS01;OR01716;P00004;
PickOrder;WS01;OR01716;P00004;
PickOrder;WS01;OR09445;P00004;
PickOrder;WS01;OR09445;P00004;
RemoveProduct;WS01;P00004;
AssignProduct;WS01;P00204;
PickOrder;WS01;OR09445;P00204;
StartOrder;WS01;OR00122;
PickOrder;WS01;OR00122;P00351;
PickOrder;WS01;OR00122;P00253;
PickOrder;WS01;OR00122;P00351;
PickOrder;WS01;OR00122;P00351;
PickOrder;WS01;OR00122;P00253;
PickOrder;WS01;OR00122;P00236;
RemoveProduct;WS01;P00204;
AssignProduct;WS01;P00002;
PickOrder;WS01;OR01716;P00002;
PickOrder;WS01;OR01716;P00002;
PickOrder;WS01;OR01716;P00002;
RemoveProduct;WS01;P00002;
AssignProduct;WS01;P00310;
PickOrder;WS01;OR01716;P00310;
RemoveProduct;WS01;P00310;
AssignProduct;WS01;P00389;
PickOrder;WS01;OR01716;P00389;
StartOrder;WS01;OR06198;
PickOrder;WS01;OR06198;P00236;
PickOrder;WS01;OR06198;P00253;
PickOrder;WS01;OR06198;P00253;
PickOrder;WS01;OR06198;P00351;
PickOrder;WS01;OR06198;P00351;
RemoveProduct;WS01;P00351;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR00122;P00206;
PickOrder;WS01;OR00122;P00206;
PickOrder;WS01;OR06198;P00206;
PickOrder;WS01;OR02816;P00206;
RemoveProduct;WS01;P00389;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR00122;P00057;
PickOrder;WS01;OR06198;P00057;
PickOrder;WS01;OR06198;P00057;
PickOrder;WS01;OR06198;P00057;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00455;
PickOrder;WS01;OR00122;P00455;
PickOrder;WS01;OR06198;P00455;
PickOrder;WS01;OR06198;P00455;
PickOrder;WS01;OR02816;P00455;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00030;
PickOrder;WS01;OR00122;P00030;
StartOrder;WS01;OR07936;
PickOrder;WS01;OR07936;P00455;
PickOrder;WS01;OR07936;P00455;
PickOrder;WS01;OR07936;P00236;
PickOrder;WS01;OR07936;P00253;
PickOrder;WS01;OR07936;P00253;
RemoveProduct;WS01;P00030;
AssignProduct;WS01;P00284;
PickOrder;WS01;OR06198;P00284;
PickOrder;WS01;OR06198;P00284;
PickOrder;WS01;OR06198;P00284;
StartOrder;WS01;OR07863;
PickOrder;WS01;OR07863;P00236;
PickOrder;WS01;OR07863;P00253;
PickOrder;WS01;OR07863;P00253;
PickOrder;WS01;OR07863;P00455;
PickOrder;WS01;OR07863;P00236;
RemoveProduct;WS01;P00284;
AssignProduct;WS01;P00496;
PickOrder;WS01;OR07863;P00496;
RemoveProduct;WS01;P00496;
AssignProduct;WS01;P00436;
PickOrder;WS01;OR07863;P00436;
PickOrder;WS01;OR07863;P00436;
RemoveProduct;WS01;P00236;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR07863;P00057;
PickOrder;WS01;OR07863;P00057;
PickOrder;WS01;OR07936;P00057;
StartOrder;WS01;OR03807;
PickOrder;WS01;OR03807;P00436;
PickOrder;WS01;OR03807;P00436;
PickOrder;WS01;OR03807;P00455;
PickOrder;WS01;OR03807;P00253;
PickOrder;WS01;OR03807;P00253;
PickOrder;WS01;OR03807;P00455;
PickOrder;WS01;OR03807;P00057;
PickOrder;WS01;OR03807;P00455;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00265;
PickOrder;WS01;OR07936;P00265;
RemoveProduct;WS01;P00253;
AssignProduct;WS01;P00472;
PickOrder;WS01;OR07936;P00472;
PickOrder;WS01;OR07936;P00472;
StartOrder;WS01;OR05497;
PickOrder;WS01;OR05497;P00455;
PickOrder;WS01;OR05497;P00455;
PickOrder;WS01;OR05497;P00455;
RemoveProduct;WS01;P00265;
AssignProduct;WS01;P00236;
PickOrder;WS01;OR03807;P00236;
PickOrder;WS01;OR03807;P00236;
RemoveProduct;WS01;P00455;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR03807;P00206;
PickOrder;WS01;OR03807;P00206;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00053;
PickOrder;WS01;OR03807;P00053;
PickOrder;WS01;OR03807;P00053;
StartOrder;WS01;OR04334;
PickOrder;WS01;OR04334;P00236;
PickOrder;WS01;OR04334;P00236;
PickOrder;WS01;OR04334;P00436;
PickOrder;WS01;OR04334;P00472;
PickOrder;WS01;OR04334;P00236;
RemoveProduct;WS01;P00053;
AssignProduct;WS01;P00036;
PickOrder;WS01;OR04334;P00036;
PickOrder;WS01;OR04334;P00036;
PickOrder;WS01;OR04334;P00036;
RemoveProduct;WS01;P00036;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR04334;P00057;
PickOrder;WS01;OR04334;P00057;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00253;
PickOrder;WS01;OR04334;P00253;
StartOrder;WS01;OR06968;
PickOrder;WS01;OR06968;P00472;
PickOrder;WS01;OR06968;P00236;
PickOrder;WS01;OR06968;P00253;
PickOrder;WS01;OR06968;P00436;
RemoveProduct;WS01;P00472;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR06968;P00057;
PickOrder;WS01;OR06968;P00057;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00492;
PickOrder;WS01;OR06968;P00492;
PickOrder;WS01;OR06968;P00492;
PickOrder;WS01;OR06968;P00492;
StartOrder;WS01;OR09788;
PickOrder;WS01;OR09788;P00236;
PickOrder;WS01;OR09788;P00253;
PickOrder;WS01;OR09788;P00253;
PickOrder;WS01;OR09788;P00436;
RemoveProduct;WS01;P00436;
AssignProduct;WS01;P00469;
PickOrder;WS01;OR09788;P00469;
PickOrder;WS01;OR09788;P00469;
PickOrder;WS01;OR09788;P00469;
RemoveProduct;WS01;P00469;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR09788;P00057;
RemoveProduct;WS01;P00492;
AssignProduct;WS01;P00185;
PickOrder;WS01;OR09788;P00185;
PickOrder;WS01;OR09788;P00185;
StartOrder;WS01;OR02503;
PickOrder;WS01;OR02503;P00253;
PickOrder;WS01;OR02503;P00253;
PickOrder;WS01;OR02503;P00057;
PickOrder;WS01;OR02503;P00057;
PickOrder;WS01;OR02503;P00057;
PickOrder;WS01;OR02503;P00236;
RemoveProduct;WS01;P00185;
AssignProduct;WS01;P00113;
PickOrder;WS01;OR02503;P00113;
PickOrder;WS01;OR02503;P00113;
RemoveProduct;WS01;P00113;
AssignProduct;WS01;P00279;
PickOrder;WS01;OR02503;P00279;
PickOrder;WS01;OR02503;P00279;
RemoveProduct;WS01;P00279;
AssignProduct;WS01;P00277;
PickOrder;WS01;OR02503;P00277;
StartOrder;WS01;OR06428;
PickOrder;WS01;OR06428;P00057;
PickOrder;WS01;OR06428;P00253;
PickOrder;WS01;OR06428;P00236;
PickOrder;WS01;OR06428;P00057;
RemoveProduct;WS01;P00277;
AssignProduct;WS01;P00101;
PickOrder;WS01;OR06428;P00101;
PickOrder;WS01;OR06428;P00101;
PickOrder;WS01;OR06428;P00101;
RemoveProduct;WS01;P00101;
AssignProduct;WS01;P00447;
PickOrder;WS01;OR06428;P00447;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00174;
PickOrder;WS01;OR06428;P00174;
StartOrder;WS01;OR08711;
PickOrder;WS01;OR08711;P00253;
PickOrder;WS01;OR08711;P00253;
PickOrder;WS01;OR08711;P00447;
PickOrder;WS01;OR08711;P00236;
RemoveProduct;WS01;P00174;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR08711;P00057;
PickOrder;WS01;OR08711;P00057;
PickOrder;WS01;OR08711;P00057;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00240;
PickOrder;WS01;OR08711;P00240;
RemoveProduct;WS01;P00240;
AssignProduct;WS01;P00455;
PickOrder;WS01;OR08711;P00455;
StartOrder;WS01;OR03567;
PickOrder;WS01;OR03567;P00253;
PickOrder;WS01;OR03567;P00236;
PickOrder;WS01;OR03567;P00455;
PickOrder;WS01;OR03567;P00253;
PickOrder;WS01;OR03567;P00253;
PickOrder;WS01;OR03567;P00447;
RemoveProduct;WS01;P00447;
AssignProduct;WS01;P00171;
PickOrder;WS01;OR03567;P00171;
PickOrder;WS01;OR03567;P00171;
PickOrder;WS01;OR03567;P00171;
RemoveProduct;WS01;P00171;
AssignProduct;WS01;P00229;
PickOrder;WS01;OR03567;P00229;
PickOrder;WS01;OR03567;P00229;
RemoveProduct;WS01;P00229;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR03567;P00057;
StartOrder;WS01;OR07247;
PickOrder;WS01;OR07247;P00455;
PickOrder;WS01;OR07247;P00253;
PickOrder;WS01;OR07247;P00253;
PickOrder;WS01;OR07247;P00455;
PickOrder;WS01;OR07247;P00057;
PickOrder;WS01;OR07247;P00236;
PickOrder;WS01;OR07247;P00057;
PickOrder;WS01;OR07247;P00057;
PickOrder;WS01;OR07247;P00253;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00238;
PickOrder;WS01;OR07247;P00238;
PickOrder;WS01;OR07247;P00238;
PickOrder;WS01;OR07247;P00238;
RemoveProduct;WS01;P00238;
AssignProduct;WS01;P00084;
PickOrder;WS01;OR07247;P00084;
StartOrder;WS01;OR04972;
PickOrder;WS01;OR04972;P00253;
PickOrder;WS01;OR04972;P00455;
PickOrder;WS01;OR04972;P00236;
PickOrder;WS01;OR04972;P00455;
PickOrder;WS01;OR04972;P00253;
PickOrder;WS01;OR04972;P00253;
PickOrder;WS01;OR04972;P00236;
PickOrder;WS01;OR04972;P00236;
PickOrder;WS01;OR04972;P00455;
RemoveProduct;WS01;P00084;
AssignProduct;WS01;P00287;
PickOrder;WS01;OR04972;P00287;
PickOrder;WS01;OR04972;P00287;
RemoveProduct;WS01;P00236;
AssignProduct;WS01;P00073;
PickOrder;WS01;OR04972;P00073;
PickOrder;WS01;OR04972;P00073;
RemoveProduct;WS01;P00073;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR04972;P00057;
PickOrder;WS01;OR04972;P00057;
StartOrder;WS01;OR04487;
PickOrder;WS01;OR04487;P00253;
PickOrder;WS01;OR04487;P00287;
PickOrder;WS01;OR04487;P00455;
PickOrder;WS01;OR04487;P00057;
PickOrder;WS01;OR04487;P00057;
PickOrder;WS01;OR04487;P00253;
PickOrder;WS01;OR04487;P00287;
PickOrder;WS01;OR04487;P00455;
RemoveProduct;WS01;P00287;
AssignProduct;WS01;P00497;
PickOrder;WS01;OR04487;P00497;
PickOrder;WS01;OR04487;P00497;
PickOrder;WS01;OR04487;P00497;
RemoveProduct;WS01;P00497;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR04487;P00206;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00236;
PickOrder;WS01;OR04487;P00236;
StartOrder;WS01;OR09078;
PickOrder;WS01;OR09078;P00455;
PickOrder;WS01;OR09078;P00206;
PickOrder;WS01;OR09078;P00236;
PickOrder;WS01;OR09078;P00253;
PickOrder;WS01;OR09078;P00206;
PickOrder;WS01;OR09078;P00455;
PickOrder;WS01;OR09078;P00455;
PickOrder;WS01;OR09078;P00253;
PickOrder;WS01;OR09078;P00253;
PickOrder;WS01;OR09078;P00236;
PickOrder;WS01;OR09078;P00236;
RemoveProduct;WS01;P00455;
AssignProduct;WS01;P00436;
PickOrder;WS01;OR09078;P00436;
PickOrder;WS01;OR09078;P00436;
RemoveProduct;WS01;P00436;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR09078;P00057;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00440;
PickOrder;WS01;OR09078;P00440;
PickOrder;WS01;OR09078;P00440;
StartOrder;WS01;OR04854;
PickOrder;WS01;OR04854;P00206;
PickOrder;WS01;OR04854;P00206;
PickOrder;WS01;OR04854;P00253;
PickOrder;WS01;OR04854;P00206;
PickOrder;WS01;OR04854;P00236;
PickOrder;WS01;OR04854;P00253;
PickOrder;WS01;OR04854;P00236;
RemoveProduct;WS01;P00440;
AssignProduct;WS01;P00285;
PickOrder;WS01;OR02816;P00285;
PickOrder;WS01;OR02816;P00285;
RemoveProduct;WS01;P00285;
AssignProduct;WS01;P00042;
PickOrder;WS01;OR01612;P00042;
PickOrder;WS01;OR02816;P00042;
PickOrder;WS01;OR02816;P00042;
PickOrder;WS01;OR02816;P00042;
RemoveProduct;WS01;P00042;
AssignProduct;WS01;P00127;
PickOrder;WS01;OR01612;P00127;
PickOrder;WS01;OR02816;P00127;
StartOrder;WS01;OR00442;
PickOrder;WS01;OR00442;P00236;
PickOrder;WS01;OR00442;P00253;
PickOrder;WS01;OR00442;P00236;
PickOrder;WS01;OR00442;P00206;
PickOrder;WS01;OR00442;P00236;
PickOrder;WS01;OR00442;P00253;
RemoveProduct;WS01;P00127;
AssignProduct;WS01;P00015;
PickOrder;WS01;OR01612;P00015;
RemoveProduct;WS01;P00015;
AssignProduct;WS01;P00283;
PickOrder;WS01;OR01612;P00283;
StartOrder;WS01;OR06548;
PickOrder;WS01;OR06548;P00253;
PickOrder;WS01;OR06548;P00206;
PickOrder;WS01;OR06548;P00253;
PickOrder;WS01;OR06548;P00236;
PickOrder;WS01;OR06548;P00206;
PickOrder;WS01;OR06548;P00236;
PickOrder;WS01;OR06548;P00206;
PickOrder;WS01;OR06548;P00206;
PickOrder;WS01;OR06548;P00206;
PickOrder;WS01;OR06548;P00206;
RemoveProduct;WS01;P00283;
AssignProduct;WS01;P00260;
PickOrder;WS01;OR04854;P00260;
PickOrder;WS01;OR04854;P00260;
RemoveProduct;WS01;P00260;
AssignProduct;WS01;P00447;
PickOrder;WS01;OR04854;P00447;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00478;
PickOrder;WS01;OR04854;P00478;
RemoveProduct;WS01;P00478;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR04854;P00057;
PickOrder;WS01;OR04854;P00057;
PickOrder;WS01;OR00442;P00057;
PickOrder;WS01;OR06548;P00057;
PickOrder;WS01;OR06548;P00057;
StartOrder;WS01;OR06665;
PickOrder;WS01;OR06665;P00236;
PickOrder;WS01;OR06665;P00236;
PickOrder;WS01;OR06665;P00057;
PickOrder;WS01;OR06665;P00057;
PickOrder;WS01;OR06665;P00253;
PickOrder;WS01;OR06665;P00253;
PickOrder;WS01;OR06665;P00447;
PickOrder;WS01;OR06665;P00236;
RemoveProduct;WS01;P00447;
AssignProduct;WS01;P00332;
PickOrder;WS01;OR06665;P00332;
RemoveProduct;WS01;P00332;
AssignProduct;WS01;P00178;
PickOrder;WS01;OR06665;P00178;
StartOrder;WS01;OR09708;
PickOrder;WS01;OR09708;P00236;
PickOrder;WS01;OR09708;P00057;
PickOrder;WS01;OR09708;P00253;
PickOrder;WS01;OR09708;P00236;
PickOrder;WS01;OR09708;P00253;
PickOrder;WS01;OR09708;P00057;
PickOrder;WS01;OR09708;P00253;
PickOrder;WS01;OR09708;P00057;
RemoveProduct;WS01;P00178;
AssignProduct;WS01;P00351;
PickOrder;WS01;OR00442;P00351;
PickOrder;WS01;OR00442;P00351;
PickOrder;WS01;OR00442;P00351;
PickOrder;WS01;OR06548;P00351;
PickOrder;WS01;OR06548;P00351;
PickOrder;WS01;OR06548;P00351;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00094;
PickOrder;WS01;OR00442;P00094;
PickOrder;WS01;OR00442;P00094;
RemoveProduct;WS01;P00094;
AssignProduct;WS01;P00472;
PickOrder;WS01;OR00442;P00472;
PickOrder;WS01;OR00442;P00472;
PickOrder;WS01;OR00442;P00472;
PickOrder;WS01;OR06548;P00472;
StartOrder;WS01;OR02968;
PickOrder;WS01;OR02968;P00472;
PickOrder;WS01;OR02968;P00472;
PickOrder;WS01;OR02968;P00253;
PickOrder;WS01;OR02968;P00236;
PickOrder;WS01;OR02968;P00351;
PickOrder;WS01;OR02968;P00236;
PickOrder;WS01;OR02968;P00253;
PickOrder;WS01;OR02968;P00472;
RemoveProduct;WS01;P00351;
AssignProduct;WS01;P00261;
PickOrder;WS01;OR06548;P00261;
StartOrder;WS01;OR00421;
PickOrder;WS01;OR00421;P00253;
PickOrder;WS01;OR00421;P00472;
PickOrder;WS01;OR00421;P00472;
PickOrder;WS01;OR00421;P00253;
PickOrder;WS01;OR00421;P00236;
PickOrder;WS01;OR00421;P00472;
PickOrder;WS01;OR00421;P00472;
PickOrder;WS01;OR00421;P00472;
RemoveProduct;WS01;P00261;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR00421;P00057;
PickOrder;WS01;OR00421;P00057;
PickOrder;WS01;OR02968;P00057;
PickOrder;WS01;OR02968;P00057;
PickOrder;WS01;OR02968;P00057;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00455;
PickOrder;WS01;OR02968;P00455;
PickOrder;WS01;OR02968;P00455;
PickOrder;WS01;OR09708;P00455;
PickOrder;WS01;OR09708;P00455;
RemoveProduct;WS01;P00236;
AssignProduct;WS01;P00152;
PickOrder;WS01;OR02968;P00152;
PickOrder;WS01;OR02968;P00152;
StartOrder;WS01;OR02921;
PickOrder;WS01;OR02921;P00472;
PickOrder;WS01;OR02921;P00472;
PickOrder;WS01;OR02921;P00455;
PickOrder;WS01;OR02921;P00455;
RemoveProduct;WS01;P00152;
AssignProduct;WS01;P00025;
PickOrder;WS01;OR00421;P00025;
